,Adipocyte,B cell,Dendritic cell,Endothelial cell,Epithelial cell,Fibroblast,M1 Macrophage,M2 Macrophage,Malignant cell,Mast cell,Megakaryocyte,NK cell,Pan-Myeloid,Pericyte,Plasmacytoid dendritic cell,T cell,Total_Cell_Types
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ACTA2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
ADH1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADIPOQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AICDA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALDH1A1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
ANGPT2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANPEP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ARG1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B3GAT1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BCL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BCL6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BRCA1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAV1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CCL18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CCL22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CCND1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CCR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CCR6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CCR7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
CD163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CD19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CD248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CD27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CD36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD3D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CD40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
