#Selection names: Region 1
#Areas (µm^2): 5522174.5
Selection,X,Y,Class,Color
Region 1,5513.973201755782,6772.749133212364,Analysis,#7cec37
Region 1,5390.133919856013,6806.911545441541,Analysis,#7cec37
Region 1,5347.430806829722,6798.371040124064,Analysis,#7cec37
Region 1,5283.376039550469,6777.019190391465,Analysis,#7cec37
Region 1,5189.429112700776,6772.749133212364,Analysis,#7cec37
Region 1,5129.64459808026,6747.127226300661,Analysis,#7cec37
Region 1,5078.400784256858,6712.964423112212,Analysis,#7cec37
Region 1,5035.697671230568,6683.0722635417715,Analysis,#7cec37
Region 1,4997.264810863016,6653.180103971332,Analysis,#7cec37
Region 1,4928.939595445387,6619.017496262518,Analysis,#7cec37
Region 1,4873.4255289632465,6563.503429780377,Analysis,#7cec37
Region 1,4813.641014342731,6520.800121274451,Analysis,#7cec37
Region 1,4779.478602113554,6456.745353995198,Analysis,#7cec37
Region 1,4732.5050409488895,6405.501540171794,Analysis,#7cec37
Region 1,4685.531479784225,6345.717221030915,Analysis,#7cec37
Region 1,4630.017413302084,6281.662453751662,Analysis,#7cec37
Region 1,4591.5845529345315,6221.877939131146,Analysis,#7cec37
Region 1,4570.232898681568,6145.012218396043,Analysis,#7cec37
Region 1,4540.340739111129,6080.957451116789,Analysis,#7cec37
Region 1,4489.096925287726,6033.983889952125,Analysis,#7cec37
Region 1,4482.444092226024,6007.696854313304,Analysis,#7cec37
Region 1,4485.998546071702,5970.730319539771,Analysis,#7cec37
Region 1,4501.9078787435765,5927.226009646581,Analysis,#7cec37
Region 1,4531.800038314016,5863.171242367327,Analysis,#7cec37
Region 1,4565.96264602283,5799.1164750880735,Analysis,#7cec37
Region 1,4595.854805593269,5717.980501694232,Analysis,#7cec37
Region 1,4625.7471606433455,5653.925734414978,Analysis,#7cec37
Region 1,4676.990974466748,5564.249060224023,Analysis,#7cec37
Region 1,4732.5050409488895,5457.490984438844,Analysis,#7cec37
Region 1,4817.911462481105,5350.7331041333,Analysis,#7cec37
Region 1,4911.858389330799,5265.326682601083,Analysis,#7cec37
Region 1,5001.535063521754,5192.731410004354,Analysis,#7cec37
Region 1,5074.13053159812,5137.217148042576,Analysis,#7cec37
Region 1,5150.996252333223,5094.5140350162865,Analysis,#7cec37
Region 1,5197.969618018252,5064.621777706028,Analysis,#7cec37
Region 1,5270.565086094617,5017.648314281182,Analysis,#7cec37
Region 1,5313.268199120908,4962.1341500592225,Analysis,#7cec37
Region 1,5373.052713741424,4915.160686634375,Analysis,#7cec37
Region 1,5466.999640591117,4859.646522412418,Analysis,#7cec37
Region 1,5548.135809464596,4812.673058987571,Analysis,#7cec37
Region 1,5620.731082061325,4769.969848221463,Analysis,#7cec37
Region 1,5714.678204390654,4705.915080942209,Analysis,#7cec37
Region 1,5753.111064758206,4684.563524429063,Analysis,#7cec37
Region 1,5795.814373264133,4650.400916720249,Analysis,#7cec37
Region 1,5842.7877389491605,4616.238406751254,Analysis,#7cec37
Region 1,5876.950151178338,4599.157102896847,Analysis,#7cec37
Region 1,5928.193965001741,4564.994592927852,Analysis,#7cec37
Region 1,5962.356768190191,4535.102335617594,Analysis,#7cec37
Region 1,6039.222488925295,4513.750779104448,Analysis,#7cec37
Region 1,6103.277256204548,4505.210176047154,Analysis,#7cec37
Region 1,6154.521070027952,4500.939825648598,Analysis,#7cec37
Region 1,6180.142976939654,4479.588269135453,Analysis,#7cec37
Region 1,6201.49443571298,4441.1554087679015,Analysis,#7cec37
Region 1,6210.034941030457,4381.370894147385,Analysis,#7cec37
Region 1,6218.575837307206,4330.127080323983,Analysis,#7cec37
Region 1,6257.008697674757,4257.531709987435,Analysis,#7cec37
Region 1,6346.685371865713,4214.828499221327,Analysis,#7cec37
Region 1,6449.172999512518,4227.639452677176,Analysis,#7cec37
Region 1,6543.119730882575,4257.531709987435,Analysis,#7cec37
Region 1,6602.904440982727,4283.153616899136,Analysis,#7cec37
Region 1,6645.607358529381,4330.127080323983,Analysis,#7cec37
Region 1,6675.4997135794565,4394.181847603237,Analysis,#7cec37
Region 1,6701.121620491158,4458.236614882489,Analysis,#7cec37
Region 1,6739.55448085871,4513.750779104448,Analysis,#7cec37
Region 1,6790.798294682111,4582.0758967822585,Analysis,#7cec37
Region 1,6850.582613822991,4646.130664061512,Analysis,#7cec37
Region 1,6901.826427646394,4697.374477884914,Analysis,#7cec37
Region 1,6953.070241469796,4727.266637455354,Analysis,#7cec37
Region 1,7012.854951569948,4740.077590911205,Analysis,#7cec37
Region 1,7076.909718849201,4761.429245164168,Analysis,#7cec37
Region 1,7136.694037990081,4791.321404734607,Analysis,#7cec37
Region 1,7187.9378518134845,4816.94331164631,Analysis,#7cec37
Region 1,7251.992619092736,4855.376172013861,Analysis,#7cec37
Region 1,7303.23643291614,4919.4309392931145,Analysis,#7cec37
Region 1,7345.939741422066,4970.674753116517,Analysis,#7cec37
Region 1,7358.750694877917,5034.729520395771,Analysis,#7cec37
Region 1,7375.831705512869,5107.324988472136,Analysis,#7cec37
Region 1,7380.1021536512435,5197.001662663091,Analysis,#7cec37
Region 1,7418.535014018797,5290.948589512784,Analysis,#7cec37
Region 1,7491.130286615526,5359.273804930413,Analysis,#7cec37
Region 1,7521.022641665602,5419.058124071291,Analysis,#7cec37
Region 1,7576.536903627378,5470.301937894695,Analysis,#7cec37
Region 1,7623.510269312407,5538.627153312323,Analysis,#7cec37
Region 1,7636.321222768257,5594.141219794463,Analysis,#7cec37
Region 1,7636.321222768257,5675.277193188305,Analysis,#7cec37
Region 1,7619.239821174033,5790.575774290961,Analysis,#7cec37
Region 1,7610.699315856556,5910.144803531992,Analysis,#7cec37
Region 1,7602.15881053908,6016.902683837536,Analysis,#7cec37
Region 1,7555.185053894779,6123.66056414308,Analysis,#7cec37
Region 1,7495.4007347539,6226.1481917898855,Analysis,#7cec37
Region 1,7444.156920930497,6332.906267575065,Analysis,#7cec37
Region 1,7371.561648333767,6422.58294176602,Analysis,#7cec37
Region 1,7286.155031321914,6499.448662501123,Analysis,#7cec37
Region 1,7222.1002640426605,6567.773682439116,Analysis,#7cec37
Region 1,7149.5049914459305,6640.369150515481,Analysis,#7cec37
Region 1,7064.098765393352,6700.15346965636,Analysis,#7cec37
Region 1,6953.070241469796,6764.208236935613,Analysis,#7cec37
Region 1,6807.879696276337,6772.749133212364,Analysis,#7cec37
Region 1,6675.4997135794565,6764.208236935613,Analysis,#7cec37
Region 1,6534.5792255650995,6751.397283479763,Analysis,#7cec37
Region 1,6419.280644462442,6708.694170453473,Analysis,#7cec37
Region 1,6282.630604586459,6674.531562744659,Analysis,#7cec37
Region 1,6077.655349292849,6683.0722635417715,Analysis,#7cec37
Region 1,5885.491047455088,6708.694170453473,Analysis,#7cec37
Region 1,5778.732971669908,6712.964423112212,Analysis,#7cec37
Region 1,5663.434390567251,6738.5863300239125,Analysis,#7cec37
Region 1,5513.973201755782,6772.749133212364,Analysis,#7cec37
